"","V1"
"s1112hl","place of tb treatment: fpan"
"s1112hm","place of tb treatment: marie stopes"
"s1112hn","place of tb treatment: other ngo facilities"
"s1112ho","place of tb treatment: shop"
"s1112hp","place of tb treatment: friend/relative"
"s1112hq","place of tb treatment: traditional healer"
"s1112hx","place of tb treatment: other"
"s1112hz","place of tb treatment: don't know"
"v476","want to remain secret if family got tb"
"s1115a","heard of covid-19"
"s1115ba","common symptoms of covid-19 infection: fever"
"s1115bb","common symptoms of covid-19 infection: cough"
"s1115bc","common symptoms of covid-19 infection: shortness of breath and breathing difficu"
"s1115bd","common symptoms of covid-19 infection: muscle pain"
"s1115be","common symptoms of covid-19 infection: headache"
"s1115bf","common symptoms of covid-19 infection: lost of taste and smell"
"s1115bg","common symptoms of covid-19 infection: diarrhea"
"s1115bh","common symptoms of covid-19 infection: common cold and running nose"
"s1115bx","common symptoms of covid-19 infection: other"
"s1115bz","common symptoms of covid-19 infection: don't know"
"s1115c","know ways to prevent the spread of covid-19"
"s1115da","measures taken to reduce risk of getting covid-19: wearing mask"
"s1115db","measures taken to reduce risk of getting covid-19: washing hands"
"s1115dc","measures taken to reduce risk of getting covid-19: using sanitizer"
"s1115dd","measures taken to reduce risk of getting covid-19: maintaining distance"
"s1115de","measures taken to reduce risk of getting covid-19: avoid touching eyes/nose/mout"
"s1115df","measures taken to reduce risk of getting covid-19: practice respiratory hygiene"
"s1115dg","measures taken to reduce risk of getting covid-19: get vaccinated"
"s1115dh","measures taken to reduce risk of getting covid-19: focus on cleanliness"
"s1115di","measures taken to reduce risk of getting covid-19: drink hot water"
"s1115dx","measures taken to reduce risk of getting covid-19: other"
"s1115dz","measures taken to reduce risk of getting covid-19: did nothing"
"s1115ea","source of information about covid-19: fchvs"
"s1115eb","source of information about covid-19: health mother's group"
"s1115ec","source of information about covid-19: community health workers"
"s1115ed","source of information about covid-19: other frontline workers from i/ngos"
"s1115ee","source of information about covid-19: radio programs"
"s1115ef","source of information about covid-19: sms/text messaging"
"s1115eg","source of information about covid-19: health facility"
"s1115eh","source of information about covid-19: phone counseling"
"s1115ei","source of information about covid-19: television"
"s1115ej","source of information about covid-19: mobile ring tone"
"s1115ek","source of inormation about covid-19: family/relatives/friends/neighbors"
"s1115el","source of information about covid-19: social media"
"s1115em","source of information about covid-19: school"
"s1115ex","source of information about covid-19: other"
"s1115ez","source of information about covid-19: don't know"
"s1115fa","heard/seen: jana swastha bahas tv karyakram"
"s1115fb","heard/seen:  jeevan chakra tv serial"
"s1115fc","heard/seen: jana swastha radio karyakram"
"s1115fd","heard/seen: swastha gatibidhi radio karyakram"
"s1115fe","heard/seen: eek dui tin sunau eekai chin radio karyakram"
"s1115ff","heard/seen: bhanchin aama radio karyakram"
"s1115fg","heard/seen: hello bhanchhin aama radio karyakram"
"s1115fh","heard/seen: jeevan raksya radio karyakram (covid-19)"
"s1115g","health mother's group in the ward"
"s1115h","no. of mother's group meetings in past 6 months"
"s1115ia","issues discussed during health mother's group meeting: received information of c"
"s1115ib","issues discussed during health mother's group meeting: received information on f"
"s1115ic","issues discussed during health mother's group meeting: received information on g"
"s1115id","issues discussed during health mother's group meeting: received information on p"
"s1115ie","issues discussed during health mother's group meeting: received information on p"
"s1115if","issues discussed during health mother's group meeting: received information on r"
"s1115ig","issues discussed during health mother's group meeting: watch demo on cooking"
"s1115ih","issues discussed during health mother's group meeting: discussed about maternal/"
"s1115ii","issues discussed during health mother's group meeting: discussed gender issues"
"s1115ij","issues discussed during health mother's group meeting: discussed about hand wash"
"s1115ik","issues discussed during health mother's group meeting: discussed about toilet"
"s1115il","issues discussed during health mother's group meeting: discussed about family pl"
"s1115im","issues discussed during health mother's group meeting: discussed about diarrhea"
"s1115in","issues discussed during health mother's group meeting: received information on a"
"s1115io","issues discussed during health mother's group meeting: discussed about covid-19"
"s1115ix","issues discussed during health mother's group meeting: other"
"s1115iz","issues discussed during health mother's group meeting: don't know"
"sdv34a","where to go to seek help if you ever experience violence"
"sdv35ba","not given enough food to eat"
"sdv35bb","not cared for when you were too ill"
"sdv35bc","asked to go for forced abortion"
"sdv35bd","threatened with divorce by husband or in-laws"
"sdv35be","asked to go for forced divorce"
"sdv35bf","abused for not bearing a son"
"sdv35bg","abused for using a family planning method"
"sdv35bh","forced to get married"
"sdv35bi","forced to seclude during menstruation"
"smth6","last 2 weeks took medication prescribed by doctor/health worker for any other me"
"smth6a","last 2 weeks received counseling for mental health condition - cs"
"sfi7a","experienced stigma or isolation as a result"
"sfi12a","no. of years been suffering from fistula - cs"
"idx94_1","index to birth history"
"idx94_2","index to birth history"
"idx94_3","index to birth history"
"idx94_4","index to birth history"
"idx94_5","index to birth history"
"idx94_6","index to birth history"
"idx94p_1","index to pregnancy history"
"idx94p_2","index to pregnancy history"
"idx94p_3","index to pregnancy history"
"idx94p_4","index to pregnancy history"
"idx94p_5","index to pregnancy history"
"idx94p_6","index to pregnancy history"
"s412aa_1","reason for not seeing anyone for anc: did not feel the need"
"s412aa_2","reason for not seeing anyone for anc: did not feel the need"
"s412aa_3","reason for not seeing anyone for anc: did not feel the need"
"s412aa_4","reason for not seeing anyone for anc: did not feel the need"
"s412aa_5","reason for not seeing anyone for anc: did not feel the need"
"s412aa_6","reason for not seeing anyone for anc: did not feel the need"
"s412ab_1","reason for not seeing anyone for anc: facility not open"
"s412ab_2","reason for not seeing anyone for anc: facility not open"
"s412ab_3","reason for not seeing anyone for anc: facility not open"
"s412ab_4","reason for not seeing anyone for anc: facility not open"
"s412ab_5","reason for not seeing anyone for anc: facility not open"
"s412ab_6","reason for not seeing anyone for anc: facility not open"
"s412ac_1","reason for not seeing anyone for anc: no transportation"
